1,3
10,3
100,3
11,3
12,3
13,3
15,3
16,3
17,3
18,3
2,3
20,3
21,3
25,3
26,3
29,3
3,3
30,3
33,3
34,3
36,3
37,3
38,3
39,3
4,3
40,3
42,3
44,3
45,3
46,3
47,3
48,3
5,3
50,3
51,3
52,3
54,3
55,3
56,3
58,3
6,3
61,3
63,3
64,3
65,3
67,3
68,3
7,3
70,3
71,3
74,3
75,3
76,3
78,3
79,3
8,3
80,3
81,3
85,3
87,3
89,3
9,3
90,3
92,3
93,3
95,3
96,3
97,3
98,3
99,3
14,0
19,0
22,0
23,0
24,0
27,0
28,0
31,0
32,0
35,0
41,0
43,0
49,0
53,0
57,0
59,0
60,0
62,0
66,0
69,0
72,0
73,0
77,0
82,0
83,0
84,0
86,0
88,0
91,0
94,0
